Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Research on Compression Behavior of Square Thin-Walled CFST Columns with Steel-Bar Stiffeners, Zhao Yang; Chengxiang Xu, Unknown, 2018",24.5,cube,C3,243,19.095,0,200,200,2,0,1200,0,0,1154.5
"Research on Compression Behavior of Square Thin-Walled CFST Columns with Steel-Bar Stiffeners, Zhao Yang; Chengxiang Xu, Unknown, 2018",24.5,cube,C4,243,19.095,0,200,200,2,0,1200,0,0,1200
"Research on Compression Behavior of Square Thin-Walled CFST Columns with Steel-Bar Stiffeners, Zhao Yang; Chengxiang Xu, Unknown, 2018",24.5,cube,C5,243,19.095,0,200,200,2,0,1200,0,0,1100
"Research on Compression Behavior of Square Thin-Walled CFST Columns with Steel-Bar Stiffeners, Zhao Yang; Chengxiang Xu, Unknown, 2018",24.5,cube,C6,243,19.095,0,200,200,2,0,1200,0,0,1353
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C2,382.5,39.82,0,300,300,6,0,1500,0,0,6600
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C3,382.5,39.82,0,300,300,6,0,1500,0,0,8654
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C4,341.93,39.82,0,300,300,4,0,1500,0,0,5300
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C5,341.93,39.82,0,300,300,4,0,1500,0,0,6243
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C6,341.93,39.82,0,300,300,4,0,1500,0,0,7255
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C7,387.98,39.82,0,300,300,8,0,1500,0,0,5600
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C8,387.98,39.82,0,300,300,8,0,1500,0,0,7878
"Axial load behavior of square CFT stub column with binding bars, Jian Cai; Zhen-Qiang He, Unknown, 2005",39.82,prism,C9,387.98,39.82,0,300,300,8,0,1500,0,0,8170
